                             stationName                              | reprocessingEfficiency | reprocessingStationsTake |                                                                                                                                     string_agg                                                                                                                                     
----------------------------------------------------------------------+------------------------+--------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Habu IV - Zoar and Sons Factory                                      |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Lela VII - Moon 22 - Imperial Shipment Storage                       |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Alal VII - Moon 14 - Theology Council Tribunal                       |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Sheroo X - Moon 3 - Sisters of EVE Bureau                            |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Bania VI - Moon 11 - Kaalakiota Corporation Warehouse                |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Antem V - Moon 1 - Amarr Civil Service Bureau Offices                |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Hirizan VII - Moon 3 - Ministry of War Bureau Offices                |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Sharza VII - Moon 5 - Emperor Family Bureau                          |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Korridi IV - Hedion University                                       |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
